"case","corpus","family","status","byte_valid","upstream_bytes","candidate_bytes","gain_percent","added_planner_ms","runtime_direct_exact","runtime_eager_close","selected_policy"
"qwen3_0_6b_prefill_s128","development","Qwen3-0.6B","planner_output_mismatch",true,622333952,622333952,0,-13.058290000117267,false,false,"greedy_lower_bound_early_exit"
"smollm2_135m_prefill_s128","development","SmolLM2-135M","ok",true,113836032,113248512,0.5161107512953368,739.9561479999193,true,true,"evaluate_interval_first_fit"
"smollm2_135m_kv_c128","development","SmolLM2-135M","planner_output_mismatch",true,125044992,125044992,0,10.818880999750036,false,false,"greedy_lower_bound_early_exit"
"smollm2_135m_kv_custom_sdpa_c128","development","SmolLM2-135M","planner_output_mismatch",true,125044992,125044992,0,21.92476500022167,false,false,"greedy_lower_bound_early_exit"
"phi4_mini_prefill_s128","development","Phi-4 Mini","skipped_resource",false,,,,,,,
"llama3_2_1b_prefill_s128","development","Llama-3.2-1B","skipped_unavailable",false,,,,,,,
"vit_b_16","development","ViT-B/16","ok",true,14278656,13068288,8.476764199655767,42.151552999712294,true,true,"evaluate_interval_first_fit"
"deit_tiny","development","DeiT-Tiny","ok",true,2141488,1700320,20.60100266730423,37.70391199986989,true,true,"evaluate_interval_first_fit"
"whisper_base","development","Whisper-base","ok",true,228288000,222156000,2.686080740117746,82.35256799980561,true,true,"evaluate_interval_first_fit"
"yolo26n","development","YOLO26n","planner_or_runtime_failed",true,4915200,4915200,0,0.8014479999474133,,,"greedy_lower_bound_early_exit"
"smolvlm_500m_text_decoder_s128","development","SmolVLM-500M text decoder","ok",true,190578688,189239040,0.7029369411966988,803.7018830000306,true,true,"evaluate_interval_first_fit"
"efficient_sam_vitt","development","EfficientSAM ViT-T","ok",true,415236096,408944640,1.5151515151515151,150.44402800049284,true,false,"evaluate_interval_first_fit"
"mobilenet_v3_small","development","MobileNetV3-Small","ok",true,4898816,4100096,16.304347826086957,27.852862999679928,true,true,"evaluate_interval_first_fit"
"resnet50","development","ResNet50","ok",true,14614528,9633792,34.08071748878923,19.142238000313228,true,true,"evaluate_interval_first_fit"
"swin_t","development","Swin-T","ok",true,15458304,10838016,29.88871224165342,114.14931000035722,true,true,"evaluate_interval_first_fit"
"convnext_tiny","development","ConvNeXt-Tiny","ok",true,15458304,12042240,22.098569157392685,9.929885000019567,true,true,"evaluate_interval_first_fit"
"t5_small","development","T5-small","ok",true,6291456,6291456,0,1.8186620000051335,true,true,"greedy_lower_bound_early_exit"
"lfm2_350m","development","LFM2-350M","planner_output_mismatch",true,268603392,268603392,0,4.301862999909645,false,false,"greedy_lower_bound_early_exit"
"registry_dl3","untouched_holdout","DeepLab registry","ok",true,22478848,22478848,0,3.659271000287845,true,true,"greedy_lower_bound_early_exit"
"registry_ds_cnn","untouched_holdout","DS-CNN","ok",true,64000,64000,0,0.1152300001194817,true,true,"greedy_lower_bound_early_exit"
"registry_edsr","untouched_holdout","EDSR","ok",true,102760448,102760448,0,0.2811099998325517,true,true,"greedy_lower_bound_early_exit"
"registry_emformer_join","untouched_holdout","Emformer","ok",true,352391168,352391168,0,0.03201100025762571,true,true,"greedy_lower_bound_early_exit"
"registry_emformer_predict","untouched_holdout","Emformer","ok",true,5513216,5509120,0.07429420505200594,8546.033157999773,true,true,"interval_first_fit"
"registry_emformer_transcribe","untouched_holdout","Emformer","ok",true,4675072,4675072,0,-16.85522200023115,true,true,"greedy_lower_bound_early_exit"
"registry_mobilebert","untouched_holdout","MobileBERT","nonconfirmatory_output",true,819328,815232,0.49992188720512415,477.393136999126,true,false,"interval_first_fit"
"registry_mobilenet_v1_025","untouched_holdout","MobileNetV1","ok",true,294912,294912,0,0.31927599957271013,true,true,"greedy_lower_bound_early_exit"
"registry_w2l","untouched_holdout","Wav2Letter","ok",true,983040,983040,0,0.0508680004713824,true,true,"greedy_lower_bound_early_exit"
"tv_alexnet","untouched_holdout","AlexNet","ok",true,151048192,151048192,0,0.06861800011392916,true,true,"greedy_lower_bound_early_exit"
"tv_squeezenet1_1","untouched_holdout","SqueezeNet","ok",true,6308352,6308352,0,0.1693880001312209,true,true,"greedy_lower_bound_early_exit"
"tv_densenet121","untouched_holdout","DenseNet","ok",true,9715712,8429568,13.237774030354132,100.4603559995303,true,true,"interval_first_fit"
"tv_shufflenet_v2_x1_0","untouched_holdout","ShuffleNetV2","ok",true,4100096,4100096,0,-3.5172990001228754,true,true,"greedy_lower_bound_early_exit"
"tv_mnasnet1_0","untouched_holdout","MNASNet","ok",true,7528448,5125120,31.923286180631123,17.657400999269157,true,true,"interval_first_fit"
"tv_efficientnet_b0","untouched_holdout","EfficientNet","ok",true,14753792,14450688,2.0544142143253747,28.576599000189162,true,true,"interval_first_fit"
"tv_regnet_y_400mf","untouched_holdout","RegNet","ok",true,5419008,5419008,0,1.0656760005076649,true,true,"greedy_lower_bound_early_exit"
"tv_googlenet","untouched_holdout","GoogLeNet","ok",true,7307264,6422528,12.10762331838565,24.351750999812793,true,true,"interval_first_fit"
"tv_inception_v3","untouched_holdout","InceptionV3","ok",true,13723904,11063808,19.38293943181182,93.49527199992735,true,true,"interval_first_fit"
"tv_vgg16","untouched_holdout","VGG","ok",true,411158528,411158528,0,0.10504900001251372,true,true,"greedy_lower_bound_early_exit"
"tv_vit_b_32","untouched_holdout","ViT","ok",true,10358784,10358784,0,1.9999650003228453,true,true,"greedy_lower_bound_early_exit"
"tv_swin_v2_t","untouched_holdout","SwinV2","ok",true,15056896,10838016,28.01958650707291,196.86223400003655,true,true,"interval_first_fit"
"tv_maxvit_t","untouched_holdout","MaxViT","ok",true,26492928,26492928,0,-0.0576149996049935,true,true,"greedy_lower_bound_early_exit"
"tv_convnext_small","untouched_holdout","ConvNeXt","ok",true,15458304,12042240,22.098569157392685,32.1315120008876,true,true,"interval_first_fit"
"tv_fcn_resnet50","untouched_holdout","FCN","ok",true,19267584,19267584,0,0.9331569999631029,true,true,"greedy_lower_bound_early_exit"
"tv_deeplabv3_mobilenet_v3_large","untouched_holdout","DeepLabV3","ok",true,6422528,6422528,0,1.5876639999987674,true,true,"greedy_lower_bound_early_exit"
"tv_lraspp_mobilenet_v3_large","untouched_holdout","LR-ASPP","ok",true,6422528,6422528,0,0.9518950000710902,true,true,"greedy_lower_bound_early_exit"
"tv_ssdlite320_mobilenet_v3_large","untouched_holdout","SSD-Lite","export_or_lowering_failed",false,,,,,,,
"tv_fasterrcnn_mobilenet_v3_large_320_fpn","untouched_holdout","Faster R-CNN","export_or_lowering_failed",false,,,,,,,
"tv_retinanet_resnet50_fpn_v2","untouched_holdout","RetinaNet","export_or_lowering_failed",false,,,,,,,
"hf_bert_tiny_s128","untouched_holdout","BERT","ok",true,1064960,934400,12.259615384615383,3.3453309997639735,true,true,"interval_first_fit"
"hf_distilbert_tiny_s128","untouched_holdout","DistilBERT","ok",true,1064960,934400,12.259615384615383,2.9205260007074685,true,true,"interval_first_fit"
"hf_gpt2_tiny_s128","untouched_holdout","GPT-2","ok",true,1064960,934400,12.259615384615383,3.2169499991141493,true,true,"interval_first_fit"
"hf_opt_tiny_s128","untouched_holdout","OPT","ok",true,1048576,983552,6.201171875,3.303612000308931,true,true,"interval_first_fit"
"hf_bart_tiny_s128","untouched_holdout","BART","ok",true,1064960,934400,12.259615384615383,15.55166999969515,true,true,"interval_first_fit"
"hf_bloom_tiny_s128","untouched_holdout","BLOOM","ok",true,1443840,1443840,0,0.34096600120392395,true,true,"greedy_lower_bound_early_exit"
"audio_conformer_small","untouched_holdout","Conformer","ok",true,909440,868992,4.447572132301196,5.700423999769555,true,true,"interval_first_fit"
"dynamic_conv_pipeline","untouched_holdout","dynamic CNN","ok",true,1769472,1769472,0,0.01152099957835162,true,true,"greedy_lower_bound_early_exit"
"dynamic_transformer_encoder","untouched_holdout","dynamic transformer encoder","ok",true,229632,229632,0,0.26634400001057656,true,true,"greedy_lower_bound_early_exit"
